"term","package","description","title"
"install.packages","utils","Install R packages","All Functions Used So Far, Week 4"
"c","base","Combine values/vectors into a vector",""
"getOption",NA,NA,""
"setwd","base","Set Working Directory",""
"library","base","Load an R package",""
"read_excel","readxl","Read an Excel file",""
"View","base","View a data frame",""
"head","utils","Show first 5 rows of a data frame",""
"names","base","Get or set names of an object",""
"str","utils","Get the structure of an R object",""
"mean","base","Get mean of a vector",""
"median","stats","Get median of a vector",""
"min","base","Get minimum of a vector",""
"max","base","Get maximum of a vector",""
"range","base","Return range of values",""
"sd","stats","Get standard deviation of a vector",""
"var","stats","Calculate variance",""
"summary","base","Obtain summary statistics or detailed regression output",""
"mutate","dplyr","Create new variables",""
"ordered","dplyr","Create an ordered factor",""
"cut","base","Convert Numeric to Factor",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"view",NA,NA,""
"is.na","base","Check if a value is NA/elements of vector are NA",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"length","base","Returns number of elements in an object",""
"t.test","stats","Performs one and two sample t-tests on vectors of data.",""
"lm","stats","Fit linear models using least squares",""
"nobs","stats","Return the number of observations in a model object",""
"seq","base","Create a sequence",""
"data.frame","base","Create a data.frame from vectors",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"dnorm","stats","Density distribution for the normal distribution",""
"ungroup","dplyr","Resolve grouping created with ""group_by""",""
"arrange","dplyr","Sort values of data frame according to a variable/combination of variables",""
"order","base","Get indexes that will sort a vector",""
"nrow","base","Get number of rows of a data frame",""
"tibble","tibble","A modern data frame from the tidyverse",""
"expression","base","Used in plots to add symbols to axes",""
"glm","base","Fits generalized linear models",""
"binomial","base","Family argument in glm()",""
"predict","stats","Generate predicted values from model objects",""
"list","base","Create a list object",""
"modelsummary","modelsummary","Creates regression and data tables",""
"group_tt","tinytable","Grouping in tinytable",""
"save_tt","tinytable","Save a tinytable object to a file",""
"factor","base","Create a factor",""
"factor","base","Create factor variables",""
"log","base","log (default base = e)",""
"ifelse","base","Return a or b depending on the value of test",""
"sim_slopes","interactions","Perform simple slopes analysis for interaction effects.",""
"avg_slopes",NA,NA,""
"predictions",NA,NA,""
"avg_comparisons",NA,NA,""
"model.frame",NA,NA,""
"slopes",NA,NA,""
"datagrid",NA,NA,""
"complete.cases","stats","Find Complete Cases",""
"rm","base","Remove objects",""
"ls","base","Return a vector of character strings giving the names of the objects in the specified environment",""
"colMeans","base","Computes the means of each column of a numeric matrix or data frame",""
"scale_color_manual","ggplot2","Manually sets the colours used in a ggplot color scale to user-specified values",""
"quantile","stats","Obtain empirical quantiles of a vector",""
